,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
201,223.0,1.0,1.0,356.0,475.0,0.005,2.0,800.0,2.2771038208710603,32,10,239
427,415.0,1.0,1.0,712.0,475.0,0.005,2.0,800.0,2.227539170404006,32,44,239
254,362.0,1.0,1.0,356.0,475.0,0.1,1.0,600.0,2.339163822496417,171,63,240
424,554.0,1.0,1.0,712.0,475.0,0.1,1.0,600.0,2.2268897035440403,171,41,240
589,746.0,1.0,1.0,1068.0,475.0,0.1,1.0,600.0,2.1973642802061915,171,14,240
87,170.0,1.0,1.0,142.0,475.0,0.1,1.0,600.0,2.7639106851194057,171,88,240
801,938.0,1.0,1.0,1410.0,475.0,0.1,1.0,600.0,2.176220818004726,171,34,240
437,512.0,1.0,1.0,712.0,475.0,0.05,3.0,200.0,2.2332313396425896,129,54,251
73,128.0,1.0,1.0,142.0,475.0,0.05,3.0,200.0,2.7482200273598347,129,74,251
255,320.0,1.0,1.0,356.0,475.0,0.05,3.0,200.0,2.3440046504562844,129,64,251
779,896.0,1.0,1.0,1410.0,475.0,0.05,3.0,200.0,2.1698390350839127,129,12,251
622,704.0,1.0,1.0,1068.0,475.0,0.05,3.0,200.0,2.2118331392703534,129,47,251
628,667.0,1.0,1.0,1068.0,475.0,0.01,5.0,800.0,2.2178839451321304,92,53,255
442,475.0,1.0,1.0,712.0,475.0,0.01,5.0,800.0,2.235819014602527,92,59,255
785,859.0,1.0,1.0,1410.0,475.0,0.01,5.0,800.0,2.173325146088335,92,18,255
257,283.0,1.0,1.0,356.0,475.0,0.01,5.0,800.0,2.3523346852666736,92,66,255
58,91.0,1.0,1.0,142.0,475.0,0.01,5.0,800.0,2.717736871920554,92,59,255
28,42.0,1.0,1.0,142.0,475.0,0.005,5.0,600.0,2.69508613294251,43,29,259
219,234.0,1.0,1.0,356.0,475.0,0.005,5.0,600.0,2.2988100086725485,43,28,259
646,618.0,1.0,1.0,1068.0,475.0,0.005,5.0,600.0,2.241872908822034,43,71,259
446,426.0,1.0,1.0,712.0,475.0,0.005,5.0,600.0,2.24168267327965,43,63,259
835,810.0,1.0,1.0,1410.0,475.0,0.005,5.0,600.0,2.197858988181506,43,68,259
425,509.0,1.0,1.0,712.0,475.0,0.05,2.0,400.0,2.227064558907085,126,42,262
834,893.0,1.0,1.0,1410.0,475.0,0.05,2.0,400.0,2.19700282967942,126,67,262
592,701.0,1.0,1.0,1068.0,475.0,0.05,2.0,400.0,2.2018541259835955,126,17,262
65,125.0,1.0,1.0,142.0,475.0,0.05,2.0,400.0,2.7266695120036544,126,66,262
261,317.0,1.0,1.0,356.0,475.0,0.05,2.0,400.0,2.3671398477854706,126,70,262
251,308.0,1.0,1.0,356.0,475.0,0.03,6.0,200.0,2.3336236013233465,117,60,270
623,692.0,1.0,1.0,1068.0,475.0,0.03,6.0,200.0,2.2132551698889102,117,48,270
821,884.0,1.0,1.0,1410.0,475.0,0.03,6.0,200.0,2.1874319681622,117,54,270
436,500.0,1.0,1.0,712.0,475.0,0.03,6.0,200.0,2.2329319886760155,117,53,270
54,116.0,1.0,1.0,142.0,475.0,0.03,6.0,200.0,2.712850194828044,117,55,270
95,171.0,1.0,1.0,142.0,475.0,0.1,1.0,800.0,2.784836182319024,172,96,271
259,363.0,1.0,1.0,356.0,475.0,0.1,1.0,800.0,2.360618970876826,172,68,271
435,555.0,1.0,1.0,712.0,475.0,0.1,1.0,800.0,2.2323759845139195,172,52,271
807,939.0,1.0,1.0,1410.0,475.0,0.1,1.0,800.0,2.178211076398848,172,40,271
590,747.0,1.0,1.0,1068.0,475.0,0.1,1.0,800.0,2.198210611768031,172,15,271
452,489.0,1.0,1.0,712.0,475.0,0.03,3.0,400.0,2.248190083476634,106,69,274
787,873.0,1.0,1.0,1410.0,475.0,0.03,3.0,400.0,2.173357602343697,106,20,274
76,105.0,1.0,1.0,142.0,475.0,0.03,3.0,400.0,2.754070798196392,106,77,274
256,297.0,1.0,1.0,356.0,475.0,0.03,3.0,400.0,2.3495484791410512,106,65,274
618,681.0,1.0,1.0,1068.0,475.0,0.03,3.0,400.0,2.210013700669114,106,43,274
426,471.0,1.0,1.0,712.0,475.0,0.01,4.0,800.0,2.227145394303631,88,43,275
