,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
1342,286,286.0,1.0,1.0,356.0,475.0,0.07,4.0,1.0,600.0,0.99,1.0,83.05062892081939,767,543,2173
372,126,126.0,1.0,1.0,142.0,475.0,0.07,4.0,1.0,600.0,0.99,1.0,88.19553175652356,767,373,2173
2753,606,606.0,1.0,1.0,1068.0,475.0,0.07,4.0,1.0,600.0,0.99,1.0,75.03080010773571,767,354,2173
2136,446,446.0,1.0,1.0,712.0,475.0,0.07,4.0,1.0,600.0,0.99,1.0,79.50212273324213,767,537,2173
3565,766,766.0,1.0,1.0,1410.0,475.0,0.07,4.0,1.0,600.0,0.99,1.0,73.96311641511232,767,366,2173
2078,401,401.0,1.0,1.0,712.0,475.0,0.01,3.0,1.0,400.0,0.99,1.0,78.46978718246842,402,479,2174
1196,241,241.0,1.0,1.0,356.0,475.0,0.01,3.0,1.0,400.0,0.99,1.0,81.01555084894589,402,397,2174
3651,721,721.0,1.0,1.0,1410.0,475.0,0.01,3.0,1.0,400.0,0.99,1.0,75.24413194013502,402,452,2174
2838,561,561.0,1.0,1.0,1068.0,475.0,0.01,3.0,1.0,400.0,0.99,1.0,75.7596727275564,402,439,2174
406,81,81.0,1.0,1.0,142.0,475.0,0.01,3.0,1.0,400.0,0.99,1.0,88.70234726091417,402,407,2174
3546,747,747.0,1.0,1.0,1410.0,475.0,0.07,3.0,3.0,600.0,0.993,1.0,73.79483546303464,748,347,2184
2020,427,427.0,1.0,1.0,712.0,475.0,0.07,3.0,3.0,600.0,0.993,1.0,77.93317657763951,748,421,2184
552,107,107.0,1.0,1.0,142.0,475.0,0.07,3.0,3.0,600.0,0.993,1.0,91.5266594629781,748,553,2184
1353,267,267.0,1.0,1.0,356.0,475.0,0.07,3.0,3.0,600.0,0.993,1.0,83.23178936764987,748,554,2184
2708,587,587.0,1.0,1.0,1068.0,475.0,0.07,3.0,3.0,600.0,0.993,1.0,74.79415729888787,748,309,2184
531,116,116.0,1.0,1.0,142.0,475.0,0.005,3.0,4.0,600.0,0.99,1.0,90.97638019433036,117,532,2186
2847,596,596.0,1.0,1.0,1068.0,475.0,0.005,3.0,4.0,600.0,0.99,1.0,75.88812441118533,117,448,2186
3682,756,756.0,1.0,1.0,1410.0,475.0,0.005,3.0,4.0,600.0,0.99,1.0,76.14343512760028,117,483,2186
1958,436,436.0,1.0,1.0,712.0,475.0,0.005,3.0,4.0,600.0,0.99,1.0,77.401891814237,117,359,2186
1163,276,276.0,1.0,1.0,356.0,475.0,0.005,3.0,4.0,600.0,0.99,1.0,80.77324299463521,117,364,2186
1127,295,295.0,1.0,1.0,356.0,475.0,0.005,4.0,2.0,600.0,0.97,1.0,80.41569800681408,136,328,2193
478,135,135.0,1.0,1.0,142.0,475.0,0.005,4.0,2.0,600.0,0.97,1.0,89.72245460479309,136,479,2193
2064,455,455.0,1.0,1.0,712.0,475.0,0.005,4.0,2.0,600.0,0.97,1.0,78.31610369768501,136,465,2193
3668,775,775.0,1.0,1.0,1410.0,475.0,0.005,4.0,2.0,600.0,0.97,1.0,75.65269269703586,136,469,2193
2851,615,615.0,1.0,1.0,1068.0,475.0,0.005,4.0,2.0,600.0,0.97,1.0,75.92679047958785,136,452,2193
1106,208,208.0,1.0,1.0,356.0,475.0,0.007,2.0,1.0,600.0,0.995,1.0,80.1866431370986,209,307,2195
2912,528,528.0,1.0,1.0,1068.0,475.0,0.007,2.0,1.0,600.0,0.995,1.0,77.32726672288896,209,513,2195
442,48,48.0,1.0,1.0,142.0,475.0,0.007,2.0,1.0,600.0,0.995,1.0,89.23672483274679,209,443,2195
2006,368,368.0,1.0,1.0,712.0,475.0,0.007,2.0,1.0,600.0,0.995,1.0,77.81063129838063,209,407,2195
3724,688,688.0,1.0,1.0,1410.0,475.0,0.007,2.0,1.0,600.0,0.995,1.0,77.35144147421116,209,525,2195
318,33,33.0,1.0,1.0,142.0,475.0,0.01,1.0,4.0,400.0,0.995,1.0,87.5886790189592,354,319,2202
3746,673,673.0,1.0,1.0,1410.0,475.0,0.01,1.0,4.0,400.0,0.995,1.0,77.87623493353568,354,547,2202
2932,513,513.0,1.0,1.0,1068.0,475.0,0.01,1.0,4.0,400.0,0.995,1.0,77.88233302564946,354,533,2202
2100,353,353.0,1.0,1.0,712.0,475.0,0.01,1.0,4.0,400.0,0.995,1.0,78.81364637152515,354,501,2202
1101,193,193.0,1.0,1.0,356.0,475.0,0.01,1.0,4.0,400.0,0.995,1.0,80.08877684590658,354,302,2202
2844,585,585.0,1.0,1.0,1068.0,475.0,0.005,3.0,3.0,600.0,0.97,1.0,75.82929103072739,106,445,2204
573,105,105.0,1.0,1.0,142.0,475.0,0.005,3.0,3.0,600.0,0.97,1.0,92.21254824568186,106,574,2204
3659,745,745.0,1.0,1.0,1410.0,475.0,0.005,3.0,3.0,600.0,0.97,1.0,75.44067192423373,106,460,2204
1140,265,265.0,1.0,1.0,356.0,475.0,0.005,3.0,3.0,600.0,0.97,1.0,80.5189910999048,106,341,2204
1983,425,425.0,1.0,1.0,712.0,475.0,0.005,3.0,3.0,600.0,0.97,1.0,77.65338017014274,106,384,2204
2040,477,477.0,1.0,1.0,712.0,475.0,0.07,4.0,4.0,600.0,0.993,1.0,78.08166215819215,798,441,2210
3630,797,797.0,1.0,1.0,1410.0,475.0,0.07,4.0,4.0,600.0,0.993,1.0,74.87603378245069,798,431,2210
1364,317,317.0,1.0,1.0,356.0,475.0,0.07,4.0,4.0,600.0,0.993,1.0,83.4746205175907,798,565,2210
637,157,157.0,1.0,1.0,142.0,475.0,0.07,4.0,4.0,600.0,0.993,1.0,94.96107703031244,798,638,2210
2534,637,637.0,1.0,1.0,1068.0,475.0,0.07,4.0,4.0,600.0,0.993,1.0,73.76413473162039,798,135,2210
3768,663,663.0,1.0,1.0,1410.0,475.0,0.01,1.0,3.0,400.0,0.995,1.0,78.73362797067757,344,569,2211
2966,503,503.0,1.0,1.0,1068.0,475.0,0.01,1.0,3.0,400.0,0.995,1.0,79.20578600336894,344,567,2211
2122,343,343.0,1.0,1.0,712.0,475.0,0.01,1.0,3.0,400.0,0.995,1.0,79.28989926393557,344,523,2211
176,23,23.0,1.0,1.0,142.0,475.0,0.01,1.0,3.0,400.0,0.995,1.0,85.72010239176045,344,177,2211
1174,183,183.0,1.0,1.0,356.0,475.0,0.01,1.0,3.0,400.0,0.995,1.0,80.8868637096661,344,375,2211
2827,589,589.0,1.0,1.0,1068.0,475.0,0.07,3.0,3.0,600.0,0.997,1.0,75.64542224981686,750,428,2215
1382,269,269.0,1.0,1.0,356.0,475.0,0.07,3.0,3.0,600.0,0.997,1.0,84.04938134273166,750,583,2215
3497,749,749.0,1.0,1.0,1410.0,475.0,0.07,3.0,3.0,600.0,0.997,1.0,73.53205896378034,750,298,2215
340,109,109.0,1.0,1.0,142.0,475.0,0.07,3.0,3.0,600.0,0.997,1.0,87.86989462148529,750,341,2215
2164,429,429.0,1.0,1.0,712.0,475.0,0.07,3.0,3.0,600.0,0.997,1.0,80.33789687169336,750,565,2215
1182,296,296.0,1.0,1.0,356.0,475.0,0.005,4.0,2.0,600.0,0.99,1.0,80.9487716336307,137,383,2221
3613,776,776.0,1.0,1.0,1410.0,475.0,0.005,4.0,2.0,600.0,0.99,1.0,74.56878045569454,137,414,2221
2068,456,456.0,1.0,1.0,712.0,475.0,0.005,4.0,2.0,600.0,0.99,1.0,78.34699758534708,137,469,2221
489,136,136.0,1.0,1.0,142.0,475.0,0.005,4.0,2.0,600.0,0.99,1.0,89.91621384891859,137,490,2221
2864,616,616.0,1.0,1.0,1068.0,475.0,0.005,4.0,2.0,600.0,0.99,1.0,76.24449989288435,137,465,2221
